transaction_date,transaction_barcode,warehouse_name,item_number,description,description2,combined_description,item_unit_price
2024-06-24,21133400701282406241225,BAYONNE,568915,ORG CUCUMBER,,,6.99
2024-06-24,21133400701282406241225,BAYONNE,5850,SWEETKALEDUO,2 X 14 OZ,SWEETKALEDUO 2 X 14 OZ,6.99
2024-06-24,21133400701282406241225,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,9.74
2024-06-24,21133400701282406241225,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2024-06-24,21133400701282406241225,BAYONNE,33666,BEEF RIBEYE,BONELESS USDA CHOICE,BEEF RIBEYE BONELESS USDA CHOICE,13.49
2024-06-24,21133400701282406241225,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-06-24,21133400701282406241225,BAYONNE,1068083,ORG FR EGGS,GRADE A T20H18 P360 SL23,ORG FR EGGS GRADE A T20H18 P360 SL23,7.99
2023-04-27,21133401104052304271742,BAYONNE,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.89
2023-04-27,21133401104052304271742,BAYONNE,692731,KS ORG EVOO,SL365          P240/P320,KS ORG EVOO SL365          P240/P320,14.99
2023-04-27,21133401104052304271742,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-04-27,21133401104052304271742,BAYONNE,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,7.49
2023-04-27,21133401104052304271742,BAYONNE,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-04-27,21133401104052304271742,BAYONNE,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2023-04-27,21133401104052304271742,BAYONNE,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2024-09-29,21133400600602409291146,BAYONNE,384962,KS U/S QTRS,TE9X5 SL90,KS U/S QTRS TE9X5 SL90,14.99
2024-09-29,21133400600602409291146,BAYONNE,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2024-09-29,21133400600602409291146,BAYONNE,38742,SWEET CORN,8 PACK,SWEET CORN 8 PACK,6.99
2024-09-29,21133400600602409291146,BAYONNE,1199652,BUTER CROISS,,,5.99
2024-09-29,21133400600602409291146,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-09-29,21133400600602409291146,BAYONNE,1775302,KS PARM SSG,9/48Z T8H8 SL40 PEPP/PARM,KS PARM SSG 9/48Z T8H8 SL40 PEPP/PARM,11.99
2024-09-29,21133400600602409291146,BAYONNE,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2024-09-29,21133400600602409291146,BAYONNE,337386,/947880,,,0.0
2024-09-29,21133400600602409291146,BAYONNE,1863506,AUTUMN BLEND,P400 SL300,AUTUMN BLEND P400 SL300,9.99
2024-09-29,21133400600602409291146,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,5.79
2024-09-29,21133400600602409291146,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.59
2024-09-29,21133400600602409291146,BAYONNE,6659,4LB HONYCRSP,,,8.99
2024-09-29,21133400600602409291146,BAYONNE,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2024-09-29,21133400600602409291146,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.79
2024-09-29,21133400600602409291146,BAYONNE,47266,ORG BS THIGH,FRESH SADDLEPACK,ORG BS THIGH FRESH SADDLEPACK,5.99
2024-09-29,21133400600602409291146,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2024-09-29,21133400600602409291146,BAYONNE,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,8.99
2024-09-29,21133400600602409291146,BAYONNE,3013,NECTARINE,1.81 KG / 4 LB,NECTARINE 1.81 KG / 4 LB,9.99
2024-09-29,21133400600602409291146,BAYONNE,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-09-29,21133400600602409291146,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-09-29,21133400600602409291146,BAYONNE,1858206,PIMENTO CRKR,2/8OZ P245 C35 P35X7,PIMENTO CRKR 2/8OZ P245 C35 P35X7,8.99
2024-09-29,21133400600602409291146,BAYONNE,1011378,CHICK PEAS,P240 .,CHICK PEAS P240 .,7.99
2024-09-29,21133400600602409291146,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-03-02,21133400702212403021410,BAYONNE,26802,CRUMBLD FETA,LACTALIS T6H6 SL60,CRUMBLD FETA LACTALIS T6H6 SL60,7.59
2024-03-02,21133400702212403021410,BAYONNE,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-03-02,21133400702212403021410,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-03-02,21133400702212403021410,BAYONNE,800182,BREAD ITALIA,SCHMIDT         SL9,BREAD ITALIA SCHMIDT         SL9,4.49
2024-03-02,21133400702212403021410,BAYONNE,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.49
2024-03-02,21133400702212403021410,BAYONNE,38742,SWEET CORN,8 PACK,SWEET CORN 8 PACK,6.99
2024-03-02,21133400702212403021410,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2024-03-02,21133400702212403021410,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-03-02,21133400702212403021410,BAYONNE,568915,ORG CUCUMBER,,,5.99
2024-03-02,21133400702212403021410,BAYONNE,1474436,KS TRAIL MIX,SL150 C10T6H4 P240,KS TRAIL MIX SL150 C10T6H4 P240,12.49
2024-03-02,21133400702212403021410,BAYONNE,1711044,HAMANTASHEN,MANISCHEWITZ T4H4 P144,HAMANTASHEN MANISCHEWITZ T4H4 P144,12.99
2024-03-02,21133400702212403021410,BAYONNE,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,13.99
2024-03-02,21133400702212403021410,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,4.99
2024-03-02,21133400702212403021410,BAYONNE,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2024-03-02,21133400702212403021410,BAYONNE,323676,/983491,,,0.0
2024-03-02,21133400702212403021410,BAYONNE,47292,SOCK SALMON,FILLET PREVIOUSLY FROZEN,SOCK SALMON FILLET PREVIOUSLY FROZEN,9.99
2024-03-02,21133400702212403021410,BAYONNE,1136479,BEEFJRKYMANG,MANGO HABANERO 16OZ P432,BEEFJRKYMANG MANGO HABANERO 16OZ P432,17.99
2024-03-02,21133400702212403021410,BAYONNE,1199652,BUTER CROISS,,,5.99
2024-03-02,21133400702212403021410,BAYONNE,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2024-03-02,21133400702212403021410,BAYONNE,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2024-03-02,21133400702212403021410,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2024-03-02,21133400702212403021410,BAYONNE,376052,KS CHOCALMND,T6H5  P360 SL292,KS CHOCALMND T6H5  P360 SL292,14.79
2024-03-02,21133400702212403021410,BAYONNE,6659,4LB HONYCRSP,,,6.99
2024-03-02,21133400702212403021410,BAYONNE,1742835,**KS TOWEL**,P20/P40/P54 NO INNER POLY,**KS TOWEL** P20/P40/P54 NO INNER POLY,19.49
2024-03-02,21133400702212403021410,BAYONNE,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2024-03-02,21133400702212403021410,BAYONNE,1528128,PUMA BB5PK M,FY24           P336 HP168,PUMA BB5PK M FY24           P336 HP168,15.49
2024-03-02,21133400702212403021410,BAYONNE,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.59
2024-03-02,21133400702212403021410,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-03-02,21133400702212403021410,BAYONNE,323480,/1391546,,,0.0
2025-05-02,21133400901002505021151,BAYONNE,33666,BEEF RIBEYE,BONELESS USDA CHOICE,BEEF RIBEYE BONELESS USDA CHOICE,15.99
2025-05-02,21133400901002505021151,BAYONNE,9440,COCONUT MILK,THAI KITCHEN (32X10) P320,COCONUT MILK THAI KITCHEN (32X10) P320,9.99
2025-05-02,21133400901002505021151,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.19
2025-05-02,21133400901002505021151,BAYONNE,519638,ORG BLUES,510 G / 18 OZ,ORG BLUES 510 G / 18 OZ,9.79
2025-05-02,21133400901002505021151,BAYONNE,938492,KS KETTLE,PINK SALT P120 T40H3,KS KETTLE PINK SALT P120 T40H3,5.99
2025-05-02,21133400901002505021151,BAYONNE,1645578,KS MIXED NUT,C13T6H5 P390 SL240,KS MIXED NUT C13T6H5 P390 SL240,14.99
2025-05-02,21133400901002505021151,BAYONNE,7554,SARDINES,6/4.37 OZ  P650,SARDINES 6/4.37 OZ  P650,9.99
2025-05-02,21133400901002505021151,BAYONNE,22967,ORGNC BS THG,FRESH SADDLEPACK,ORGNC BS THG FRESH SADDLEPACK,5.99
2025-05-02,21133400901002505021151,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-05-02,21133400901002505021151,BAYONNE,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.99
2025-05-02,21133400901002505021151,BAYONNE,73290,CMN-DONATION,,,1.0
2025-05-02,21133400901002505021151,BAYONNE,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-05-02,21133400901002505021151,BAYONNE,1706008,OLD SPICE,DEODORANT 4PC 3OZ P270,OLD SPICE DEODORANT 4PC 3OZ P270,15.99
2025-05-02,21133400901002505021151,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2025-05-02,21133400901002505021151,BAYONNE,568915,ORG CUCUMBER,,,5.99
2025-05-02,21133400901002505021151,BAYONNE,1561475,CERAVE CREAM,2 PACK 16.0 OZ       P288,CERAVE CREAM 2 PACK 16.0 OZ       P288,24.99
2025-05-02,21133400901002505021151,BAYONNE,352985,/1561475,,,0.0
2025-05-02,21133400901002505021151,BAYONNE,21046,TOMATO MEDLE,,,6.59
2025-05-02,21133400901002505021151,BAYONNE,1838716,PRETZELPITA,28OZ (1.75LBS) P138 S150,PRETZELPITA 28OZ (1.75LBS) P138 S150,7.99
2025-05-02,21133400901002505021151,BAYONNE,61576,SWEET POTATO,5 LBS,SWEET POTATO 5 LBS,4.59
2025-05-02,21133400901002505021151,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-05-02,21133400901002505021151,BAYONNE,1199652,BUTER CROISS,,,5.99
2025-05-02,21133400901002505021151,BAYONNE,1842720,STR CRISPS,CRISPS 3OZ P480 SL540,STR CRISPS CRISPS 3OZ P480 SL540,6.99
2025-05-02,21133400901002505021151,BAYONNE,1739998,KS WRAP 3PK,GIFT WRAP 3PK  T130H1P130,KS WRAP 3PK GIFT WRAP 3PK  T130H1P130,9.97
2025-05-02,21133400901002505021151,BAYONNE,1388332,COCONUT ROLL,11 OZ  P380      SL270,COCONUT ROLL 11 OZ  P380      SL270,7.99
2025-05-02,21133400901002505021151,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,10.76
2024-11-02,21133401004372411021616,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-11-02,21133401004372411021616,BAYONNE,47825,GREEN GRAPES,1.36 KG / 3 LB,GREEN GRAPES 1.36 KG / 3 LB,6.99
2024-11-02,21133401004372411021616,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-11-02,21133401004372411021616,BAYONNE,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-11-02,21133401004372411021616,BAYONNE,22967,ORGNC BS THG,FRESH SADDLEPACK,ORGNC BS THG FRESH SADDLEPACK,5.99
2024-11-02,21133401004372411021616,BAYONNE,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,5.69
2024-11-02,21133401004372411021616,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-11-02,21133401004372411021616,BAYONNE,757263,CHEX MIX,T50H3  P150 SL149,CHEX MIX T50H3  P150 SL149,6.99
2022-12-15,21133401101842212151315,BAYONNE,1461056,BABY CUKE,,,5.99
2022-12-15,21133401101842212151315,BAYONNE,7859,SMOKD SALMON,FOPPEN SL28 T8H5,SMOKD SALMON FOPPEN SL28 T8H5,10.99
2022-12-15,21133401101842212151315,BAYONNE,202193,SWEET MINI,680 G / 1.5 LB,SWEET MINI 680 G / 1.5 LB,3.99
2022-12-15,21133401101842212151315,BAYONNE,21046,TOMATO MEDLE,,,6.69
2022-12-15,21133401101842212151315,BAYONNE,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2022-12-15,21133401101842212151315,BAYONNE,289860,/1126125,,,0.0
2022-12-15,21133401101842212151315,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.49
2022-12-15,21133401101842212151315,BAYONNE,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-12-15,21133401101842212151315,BAYONNE,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2022-12-15,21133401101842212151315,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2022-12-15,21133401101842212151315,BAYONNE,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2022-12-15,21133401101842212151315,BAYONNE,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.59
2022-12-15,21133401101842212151315,BAYONNE,1060788,PRETZEL CRSP,P176 T44H4 SL210,PRETZEL CRSP P176 T44H4 SL210,8.69
2022-12-15,21133401101842212151315,BAYONNE,289947,/1060788,,,0.0
2025-10-26,21133400603002510261545,BAYONNE,7907,HONEYNUTSQSH,,,5.99
2025-10-26,21133400603002510261545,BAYONNE,96128,POTATO BREAD,2PK/18 OZ LOAVES,POTATO BREAD 2PK/18 OZ LOAVES,6.89
2025-10-26,21133400603002510261545,BAYONNE,549797,BISCOFF,LOTUS BAKERIES  SL150P480,BISCOFF LOTUS BAKERIES  SL150P480,7.99
2025-10-26,21133400603002510261545,BAYONNE,9877788,KS ORG TOFU,4-16Z SL45 7X5 MW/TE 6X7,KS ORG TOFU 4-16Z SL45 7X5 MW/TE 6X7,5.69
2025-10-26,21133400603002510261545,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-10-26,21133400603002510261545,BAYONNE,16712,CHANTERELLE,,,12.99
2025-10-26,21133400603002510261545,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2025-10-26,21133400603002510261545,BAYONNE,91655,BEEF OX TAIL,,,8.99
2025-10-26,21133400603002510261545,BAYONNE,10912,SOCK SALMON,FILLET PREVIOUSLY FROZEN,SOCK SALMON FILLET PREVIOUSLY FROZEN,13.99
2025-10-26,21133400603002510261545,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.49
2025-10-26,21133400603002510261545,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2025-10-26,21133400603002510261545,BAYONNE,7445,10LB BAKERS,4.5KG / 10 LB,10LB BAKERS 4.5KG / 10 LB,6.99
2025-10-26,21133400603002510261545,BAYONNE,516822,KS ORG STOCK,KS ORGANIC   SL292   P150,KS ORG STOCK KS ORGANIC   SL292   P150,8.99
2025-10-26,21133400603002510261545,BAYONNE,7950,4LB COSMIC,,,5.99
2025-10-26,21133400603002510261545,BAYONNE,705876,MARSCHOCVRTY,"Z#277179 C7 T8H5 P280","MARSCHOCVRTY Z#277179 C7 T8H5 P280",29.99
2025-10-26,21133400603002510261545,BAYONNE,987677,KS ALLER 180,180CT.          T10H5 C14,KS ALLER 180 180CT.          T10H5 C14,33.49
2025-10-26,21133400603002510261545,BAYONNE,21046,TOMATO MEDLE,,,7.99
2025-10-26,21133400603002510261545,BAYONNE,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,15.99
2025-10-26,21133400603002510261545,BAYONNE,938492,KS KETTLE,PINK SALT P120 T40H3,KS KETTLE PINK SALT P120 T40H3,5.99
2025-10-26,21133400603002510261545,BAYONNE,1050557,KS PB PRTZEL,1.56KG T56H4 P224 SL120,KS PB PRTZEL 1.56KG T56H4 P224 SL120,9.79
2025-10-26,21133400603002510261545,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,12.99
2025-10-26,21133400603002510261545,BAYONNE,25949,FRESH GARLIC,907 G / 2 LB,FRESH GARLIC 907 G / 2 LB,6.59
2024-10-15,21133400600482410151124,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2024-10-15,21133400600482410151124,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-10-15,21133400600482410151124,BAYONNE,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2024-10-15,21133400600482410151124,BAYONNE,1199652,BUTER CROISS,,,5.99
2024-10-15,21133400600482410151124,BAYONNE,339830,/1199652,,,0.0
2024-10-15,21133400600482410151124,BAYONNE,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.59
2024-10-15,21133400600482410151124,BAYONNE,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-10-15,21133400600482410151124,BAYONNE,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2024-10-15,21133400600482410151124,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.79
2024-10-15,21133400600482410151124,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-10-15,21133400600482410151124,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-10-15,21133400600482410151124,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-10-15,21133400600482410151124,BAYONNE,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,5.79
2024-10-15,21133400600482410151124,BAYONNE,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2024-10-15,21133400600482410151124,BAYONNE,337386,/947880,,,0.0
2024-12-31,21133400700932412311221,BAYONNE,1199652,BUTER CROISS,,,5.99
2024-12-31,21133400700932412311221,BAYONNE,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-12-31,21133400700932412311221,BAYONNE,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2024-12-31,21133400700932412311221,BAYONNE,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-12-31,21133400700932412311221,BAYONNE,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,12.89
2024-12-31,21133400700932412311221,BAYONNE,1823420,RUSTIC ITALN,,,5.99
2024-12-31,21133400700932412311221,BAYONNE,982859,CHKN POTSTIK,LING LING T6H4 P216 D,CHKN POTSTIK LING LING T6H4 P216 D,12.79
2024-12-31,21133400700932412311221,BAYONNE,343405,/ 982859,,,0.0
2024-12-31,21133400700932412311221,BAYONNE,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,13.99
2024-12-31,21133400700932412311221,BAYONNE,1775302,KS PARM SSG,9/48Z T8H8 SL40 PEPP/PARM,KS PARM SSG 9/48Z T8H8 SL40 PEPP/PARM,12.59
2024-12-31,21133400700932412311221,BAYONNE,21046,TOMATO MEDLE,,,6.59
2024-12-31,21133400700932412311221,BAYONNE,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-12-31,21133400700932412311221,BAYONNE,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-12-31,21133400700932412311221,BAYONNE,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-12-31,21133400700932412311221,BAYONNE,343332,/1773119,,,0.0
2024-12-31,21133400700932412311221,BAYONNE,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-12-31,21133400700932412311221,BAYONNE,23011,ORGANIC WING,SADDLEPACK,ORGANIC WING SADDLEPACK,3.99
2024-12-31,21133400700932412311221,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-12-31,21133400700932412311221,BAYONNE,6659,4LB HONYCRSP,,,9.99
2024-12-31,21133400700932412311221,BAYONNE,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,6.99
2024-12-31,21133400700932412311221,BAYONNE,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2024-12-31,21133400700932412311221,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2025-09-27,21133400800142509271103,BAYONNE,1763823,DRD JACKFRT,PHONOMENAL C12T6H4P288,DRD JACKFRT PHONOMENAL C12T6H4P288,9.99
2025-09-27,21133400800142509271103,BAYONNE,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,30.89
2025-09-27,21133400800142509271103,BAYONNE,521658,FERRERO 48CT,T6H6 P288/576/T30 SL120,FERRERO 48CT T6H6 P288/576/T30 SL120,17.99
2025-09-27,21133400800142509271103,BAYONNE,1893314,MUDDY BITES,P400 T5H4 SL273,MUDDY BITES P400 T5H4 SL273,4.97
2025-09-27,21133400800142509271103,BAYONNE,6995,GOLD KIWI,3 LBS,GOLD KIWI 3 LBS,12.39
2025-09-27,21133400800142509271103,BAYONNE,983491,CRUNCHY BUTR,CRNCHY T120H5 P600,CRUNCHY BUTR CRNCHY T120H5 P600,14.99
2025-09-27,21133400800142509271103,BAYONNE,1967992,TIM TAMS,P270  SL360,TIM TAMS P270  SL360,13.99
2025-09-27,21133400800142509271103,BAYONNE,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2025-09-27,21133400800142509271103,BAYONNE,260509,POLYO STRCHZ,10/48Z P450 T9H5     SL45,POLYO STRCHZ 10/48Z P450 T9H5     SL45,11.99
2025-09-27,21133400800142509271103,BAYONNE,1753372,ROMA PIZZA,C10 T10H5 SL12,ROMA PIZZA C10 T10H5 SL12,14.99
2025-09-27,21133400800142509271103,BAYONNE,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.49
2025-09-27,21133400800142509271103,BAYONNE,1474436,KS TRAIL MIX,SL150 C10T6H4 P240,KS TRAIL MIX SL150 C10T6H4 P240,14.49
2025-09-27,21133400800142509271103,BAYONNE,11448,TENDERLOIN,CHICKEN TENDERLOIN,TENDERLOIN CHICKEN TENDERLOIN,3.29
2025-09-27,21133400800142509271103,BAYONNE,364091,/TENDERS,,,0.0
2025-09-27,21133400800142509271103,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-09-27,21133400800142509271103,BAYONNE,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,7.99
2025-09-27,21133400800142509271103,BAYONNE,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2025-09-27,21133400800142509271103,BAYONNE,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2025-09-27,21133400800142509271103,BAYONNE,910270,ORG GRE BEAN,,,7.49
2025-09-27,21133400800142509271103,BAYONNE,9877788,KS ORG TOFU,8/4-16OZ T7H5 SL45,KS ORG TOFU 8/4-16OZ T7H5 SL45,5.69
2025-09-27,21133400800142509271103,BAYONNE,5938,POTATOES,4.54 KG / 10 LB,POTATOES 4.54 KG / 10 LB,5.99
2025-09-27,21133400800142509271103,BAYONNE,21046,TOMATO MEDLE,,,7.99
2025-09-27,21133400800142509271103,BAYONNE,251680,ORG RASPBERY,340 G / 12 OZ,ORG RASPBERY 340 G / 12 OZ,5.79
2025-10-04,21133400900892510041133,BAYONNE,1830455,KS BAGUETTE,,,4.99
2025-10-04,21133400900892510041133,BAYONNE,9218,RED ONIONS,5 LBS,RED ONIONS 5 LBS,4.99
2025-10-04,21133400900892510041133,BAYONNE,425983,SUNCHIP CHED,21.6OZ P120 SL50,SUNCHIP CHED 21.6OZ P120 SL50,7.99
2025-10-04,21133400900892510041133,BAYONNE,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,12.99
2025-10-04,21133400900892510041133,BAYONNE,910270,ORG GRE BEAN,,,7.49
2025-10-04,21133400900892510041133,BAYONNE,25107,GRLCPEPWINGS,PARTY WINGS,GRLCPEPWINGS PARTY WINGS,3.99
2025-10-04,21133400900892510041133,BAYONNE,1073013,KS 100% OJ,T10H5C4 P200 SL45 DOM70,KS 100% OJ T10H5C4 P200 SL45 DOM70,14.99
